Sanctioned Entity,Sanction Amount,Sanction Reason,Sanction Date
GENERALFINANCE SPA,3.0,": 
- carenze in materia di adeguata verifica, profilatura e collaborazio ne attiva (artt. 7, 15, 16, 
17, 18, 19, 24, 25, 35, 36, d.lgs. 231/2007; Provv. B.I. del 26/03/2019 “Disposizioni  in 
materia di organizzazione, procedure e controlli interni volti a prevenire l’utilizzo  degli 
intermediari a fini di riciclaggio e di finanziamento del terrorismo”; Provv. B.I. del 
30/07/2019 “Disposizioni in materia di adeguata verifica della clientela per il  contrasto del 
riciclaggio e del finanziamento del terrorismo”; art. 62, co. 1, d.lgs. 231/2007). 
CONSIDERATO che l e suddett e irregolarità sono state contesta te a Generalfinance Spa  
nella persona del legale rappresentante pro- tempore , secondo le formalità previste dall’art. 145 
TUB,  richiamato dall’art. 65 del d.lgs. n. 231/2007;  
CONSIDERATI le deduzioni presentate nel corso dell’ist ruttori a e ogni altro elemento 
istruttorio;  
VISTA la nota (omissis)  con la quale il Servizio Rapporti Istituzionali di Vigilanza, in 
osservanza del principio della distinzione tra funzioni i struttorie e funzioni decisorie rispetto 
all’irrogazione della sanzione, fissato dall’art. 24 della  l. n. 262/2005, ha proposto al Direttorio 
della Banca d’Italia l’applicazione,  nei confronti di Generalfinance Spa,  di sanzioni 
amministrative pecuniarie ex art. 62, d.lgs. n. 231/2007, trasmettendo i relativi  atti;                                                                        
 
Provvedimenti sanzionatori  
 
 
2 
 VISTA la nota  (omissis)  con la quale il Servizio Rapporti Istituzionali di Vigilanza ha 
trasmesso a Generalfinance Spa la proposta di sanzione e i relativi allegati;  
VISTE  le ulteriori osservazioni trasmesse (omissis)  da Generalfinance Spa in merito alla 
proposta del S ervizio Rapporti Istituzionali di Vigilanza;  
VISTO il parere dell’Avvocato Generale (omissis) ; 
VISTA la delibera del Direttorio (omissis);   
LA BANCA D’ITALIA  
ESAMINATI gli atti del procedimento, considerate le ulteriori osservazioni presentate  
dalla socie tà non idonee a superare la proposta del Servizio Rapporti Istituzionali di Vigilanza  
e ritenuto, quindi, che sussistono gli estremi per l’irrogazione della sanzione amministrativa  
pecuniaria, tenuto conto dell’azione correttiva attuata,  per le ragioni illustrate nella delibera 
(omissis) ; 
DISPONE  CHE  
a Generalfinance Spa  sia inflitta, ai sensi dell’art. 62  del d.lgs. n. 231/2007,  per le  
irregolarità sopra indicat e, la sanzione amministrativa pecuniaria di € 3 0.000.",2019-03-26
GENERALFINANCE SPA,30000.0,": 
- omesse/errate segnalazioni all’Organismo di Vigilanza (art. 108, co. 1 e co. 4, d.lgs.  
385/93; Tit. III, Cap. 1, Sez. V, Tit. IV, Cap. 5, Circ. 288/2015 “Disposizioni di Vigilanza  
per gli Intermediari finanziari”; Circ. 217/2020 “Manuale per la compilazione delle  
Segnalazioni di Vigilanza per gli Intermediari Finanziari, per gli Istituti di pagamento e  
per gli IMEL”; art. 144, co. 1, lett. a ), d.lgs. 385/93).  
CONSIDERATO che l e suddett e irregolarità sono state contestat e a Generalfinance Spa  
nella  persona del legale rappresentante pro- tempore , secondo le f ormalità previste dall’art. 145 
TUB ; 
CONSIDERATI le deduzioni presentate nel corso dell' istruttoria e ogni altro elemento 
istruttorio;  
VISTA la nota (omissis)  con cui il Servizio Rapporti Istituzionali di Vigilanza, in 
osservanza del principio della distinzione tra funzioni istruttorie e funzioni decisorie rispetto 
all'irrogazione della sanzione, fissato dall'art. 24 della l. n. 262/2005, ha proposto al Direttorio della Banca d'Italia l'applicazione nei confronti di Generalfinance Spa di sanzioni 
amministrative pecuniarie ex  art. 144 TUB, trasmettendo i relativi atti;  
VISTA la nota (omissis)  con la quale il Servizio Rapporti Istituzionali di Vigilanza ha 
trasmesso a Generalfinance Spa la proposta di sanzione e i relativi allegati;  
VISTE le ulteriori osservazioni trasmesse (omissis)  da Generalfinance Spa in merito  alla 
proposta del Servizio Rapporti Istituzionali di Vigilanza;  
VISTO il parere dell’Avvocato Generale (omissis);  
VISTA la delibera del Direttorio (omissis);  
LA BANCA D’ITALIA  
ESAMINATI gli a tti del procedimento , considerate le ulteriori osservazioni presentate  
dalla società non idonee a superare la proposta del Servizio Rapporti Istituzionali di Vigilanza                                                                         
 
Provvedimenti sanzionatori  
 
 
2 
 e ritenuto , quindi, che sussistono gli estremi per l'irrogazione della sanzione amministrativa 
pecuniaria, tenuto conto dell’azione correttiva attuata , per le ragioni illustrate nella delibera 
(omissis) ; 
DISPONE  CHE  
a Generalfinance Spa  sia inflitta , ai sensi dell'art. 144 TUB, per le irregolarità sopra 
indicate, la sanzione amministrativa pecuniaria di € 30.000.",2024-02-06
SOLUTION BANK SPA,3.0,,2019-03-26
,14.0,": 
- carenze nell’organizzazione e nei controlli interni da parte dei componenti il  Consiglio di 
amministrazione (art. 53, co. 1, lett. b) e d), d.lgs. 385/93; Parte  I, Tit.  IV, Cap. 1, 3, 4, 6, 
Circ. 285/13; art. 144- ter, co.1, lett. a), d.lgs.385/93);  
- carenze nell’organizzazione e nei controlli interni da parte dei componenti il  Collegio 
sindacale (art. 53, co. 1, lett. b) e d), d.lgs. 385/1993; Parte I , Tit. IV, Cap. 1, 3, 4, 6, Circ. 
285/2013; art. 144- ter, co. 1, lett. a), d.lgs. 385/1993).  
CONSIDERATO che l e suddett e irregolarità sono stat e contestat e agli esponenti di  Banca 
Popolare del Mediterraneo Scpa , secondo le f ormalità previste dall’art. 145 TUB ; 
CONSIDERATI le d eduzioni presentate nel corso dell'istruttoria e ogni altro elemento 
istruttorio;  
VISTA la nota (omissis)  con cui il Servizio Rapporti Istituzionali di Vigilanza, in 
osservanza del principio della distinzione tra funzioni istruttorie e funzioni decisorie r ispetto 
all'irrogazione della sanzione, fissato dall'art. 24 della l. n. 262/2005, ha proposto al Direttorio 
della Banca d'Italia l'applicazione,  nei confronti degli esponenti di Banca Popolare del 
Mediterraneo Scpa,  di sanzioni amministrative pecuniarie e x art. 144 -ter TUB, trasmettendo i 
relativi atti;  
VISTA la nota (omissis)  con la quale il Servizio Rapporti Istituzionali di Vigilanza ha 
trasmesso agli interessati la proposta di sanzione e i relativi allegati;  
VISTE le ulteriori osservazioni presentate i n merito alla proposta del Servizio Rapporti 
Istituzionali di Vigilanza dagli esponenti di Banca Popolare del Mediterraneo Scpa;  
VIST I i parer i dell’Avvocato Generale (omissis);  
VISTA la delibera del Direttorio (omissis);  
LA BANCA D’ITALIA                                                                         
 
Provvedimenti sanzionatori  
 
 
2 
 ESAMINATI gli a tti del procedimento , considerate le ulteriori osservazioni presentate  
dagli esponenti non idonee a superare la proposta del Servizio Rapporti Istituzionali di  
Vigilanza  e ritenuto , quindi, che sussistono gli estremi per l'irrogazione di  sanzioni  
amministra tive pecuniari e, per le ragioni illustrate nella delibera (omissis) ; 
DISPONE  CHE  
a carico delle persone di seguito indicate, nella qualità precisata, siano inflitte,  ai sensi 
dell'art. 144 -ter TUB, per le irregolarità sopra indicate, l e seguenti sanzioni  amministrativ e 
pecuniari e: 
1) componenti il Consiglio di amministrazione di Banca Popolare del  Mediterraneo Scpa,  
- Nicola Donnarumma, € 14.000;  
- Giovanni Castellano, € 19.000;  
- Alessandro Di Dato, € 8.000;  
- Stefano Luise, € 7.000;  
- Donato Ammaturo, € 7.000;  
- Gennaro Fusco, € 7.000;  
- Raffaele Iervolino, € 7.000;  
- Fulvio Luise, € 7.000;  
- Michele Nappi, € 7.000;  
2) componenti il Collegio sindacale di Banca Popolare del Mediterraneo Scpa,  
- Antonio Minervini, € 14.000;  
- Santolo Nunziata Rega, € 14.000;  
- Vincenzo Barrella, € 14.000.",2024-03-01
,75000.0,,2024-01-09
PRELIOS CREDIT SERVICING  SPA,3.0,,2023-12-05
VALUE ITALY SGR  SPA,48.0,,
VALUE ITALY SGR  SPA,6.0,,
,23000.0,": 
- carenze in materia di assetti organizzativi e controlli interni, adeguata verifica della  
clientela, conservazione e messa a d isposizione dei documenti, dei dati e delle  
informazioni (artt. 16, 17, 18, 19, 24, 25, 31, 32, 36 del d.lgs. 231/2007; Provv. B.I. del  
26/03/2019 “Disposizioni in materia di organizzazione, procedure e controlli interni 
volti a prevenire l’utilizzo degli intermediari a fini di riciclaggio e di finanziamento del  
terrorismo” , parte III, sez. 1 par. 1.2; Provv. B.I. del 30/07/2019 “Disposizioni in 
materia di adeguata verifica della clientela per il contrasto del riciclaggio e del 
finanziamento del terrorismo” ; Provv. B.I  del 24/3/2020 “Disposizioni per la 
conservazione e la messa a disposizione dei documenti,  dei dati e delle informazioni”; 
art. 62, co. 2 , d.lgs. 231/2007) . 
CONSIDERATO che l e suddett e irregolarità sono state contestat e alla Responsabile della 
Funzione Antiriciclaggio della succursale italiana di Framont & Partners Management Limited  
secondo le formalità previste dall’art. 145 TUB, richiamato dall’art. 65 del d.lgs. n. 231/2007;  
CONSIDERATI le deduzioni presentate nel corso dell’ist ruttoria e og ni altro elemento 
istruttorio;                                                                         
 
Provvedimenti sanzionatori  
 
 
2 
 VISTA la nota (omissis)  con cui il Servizio Rapporti Istituzionali di Vigilanza, in 
osservanza del principio della distinzione tra funzioni i struttorie e funzioni decisorie rispetto 
all’irrogazione della sanzione, fissato dal l’art. 24 della  l. n. 262/2005, ha proposto al Direttorio 
della Banca d’Italia l’applicazione,  nei confronti della Responsabile della Funzione 
Antiriciclaggio della  succursale italiana  di Framont & Partners Management Limited , di 
sanzioni amministrative pe cuniarie ex art. 62 del d.lgs. n. 231/2007, trasmettendo i relativi  atti; 
VISTA la nota (omissis)  con la quale il Servizio Rapporti Istituzionali di Vigilanza ha 
trasmesso all’interessata la proposta conclusiva della fase istruttoria e i relativi allegati; 
VISTE  le ulteriori osservazioni trasmesse (omissis)  dalla Responsabile della Funzione 
Antiriciclaggio della  succursale italiana di Framont & Partners Management Limited in  merito 
alla proposta del Servizio Rapporti Istituzionali di Vigilanza;  
VISTO il pa rere dell’Avvocato Generale (omissis) ; 
VISTA la delibera del Direttorio (omissis);   
LA BANCA D’ITALIA  
ESAMINATI gli atti del procedimento, considerate le ulteriori osservazioni presentate  
dalla Responsabile della Funzione Antiriciclaggio  non idonee a super are la proposta del 
Servizio Rapporti Istituzionali di Vigilanza  e ritenuto, quindi, che sussistono gli estremi per 
l’irrogazione di  sanzioni  amministrativ e pecuniari e, tenuto conto delle irregolarità rilevate , per 
le ragioni illustrate nella delibera (omi ssis); 
DISPONE  CHE  
alla Responsabile della Funzione Antiriciclaggio della succursale italiana di Framont 
& Partners Management Limited sia inflitta, ai sensi dell’art. 62  del d.lgs. n. 231/2007,  per 
le irregolarità sopra indicate, la sanzione amministrativ a pecuniaria di € 23.000.",2019-03-26
,3.0,": 
- carenze in materia di assetti organizzativi e controlli interni, adeguata verifica della  
clientela, conservazione e messa a disposizione dei documenti, dei dati e delle  
inform azioni (artt. 16, 17, 18, 19, 24, 25, 31, 32, 36 del d.lgs. 231/2007; Provv. B.I. del  
26/03/2019 “Disposizioni in materia di organizzazione, procedure e controlli interni 
volti a prevenire l’utilizzo degli intermediari a fini di riciclaggio e di finanziame nto del  
terrorismo”; Provv. B.I. del 30/07/2019 “Disposizioni in materia di adeguata verifica della  clientela per il contrasto del riciclaggio e del finanziamento del terrorismo”; 
Provv. B.I  del 24/3/2020 “Disposizioni per la conservazione e la messa a dis posizione 
dei documenti, dei dati e delle informazioni”; art. 62, co. 1, d.lgs. 231/2007) . 
CONSIDERATO che l e suddett e irregolarità sono state contestat e alla succursale italiana  
di Framont & Partners Management Limited  nella persona del legale rappresentante pro-
tempore , secondo le formalità previste dall’art. 145 TUB, richiamato dall’art. 65 del d.lgs. n. 
231/2007;  
CONSIDERATI le deduzioni presentate nel corso dell’ist ruttoria e ogni altro elemento 
istruttorio;  
VISTA la nota (omissis)  con la quale il Serv izio Rapporti Istituzionali di Vigilanza, in 
osservanza del principio della distinzione tra funzioni i struttorie e funzioni decisorie rispetto                                                                        
 
Provvedimenti sanzionatori  
 
 
2 
 all’irrogazione della sanzione, fissato dall’art. 24 della  l. n. 262/2005, ha proposto al Direttorio 
della Banca d’Italia l’applicazione , nei confronti della succursale italiana di Framont & 
Partners Management Limited , di sanzioni amministrative pecuniarie ex art. 62, d.lgs. n. 
231/2007, trasmettendo i relativi  atti; 
VISTA la nota (omissis)  con la quale il Servizio Rapporti Istituzionali di Vigilanza ha 
trasmesso alla succursale italiana di Framont & Partners Management Limited la proposta di 
sanzione e i relativi allegati;  
VISTE  le ulteriori osservazioni trasmesse (omissis)  dalla succursale italiana di Framont & 
Partners Management Limited in merito alla proposta del Servizio Rapporti Istituzionali di 
Vigilanza;  
VISTO il parere dell’Avvocato Generale (omissis) ; 
VISTA la delibera del Direttorio (omissis);   
LA BANCA D’ITALIA  
ESAMINATI gli atti del procedimento, considerate le ulteriori osservazioni presentate  
dalla società non idonee a superare la proposta del Servizio Rapporti Istituzionali di Vigilanza  
e ritenuto, quindi, che sussistono gli estremi per l’irrogazione della sanzione amministrativa  
pecuniaria, tenuto conto delle irregolarità rilevate , per le ragioni illustrate nella delibera 
(omissis) ; 
DISPONE  CHE  
alla succursale italiana di Framont & Partners Management Limited sia inflitta, ai 
sensi dell’art. 62  del d.lgs. n. 231/2007,  per le  irregolarità sopra indicat e, la sanzione 
amministrativa pecuniaria di € 3 0.000.",2019-03-26
PRELIOS CREDIT SERVICING  SPA,3.0,"- carenze in materia di adeguata verifica (artt. 7, 15,  16, 17, 18, 19, 20, 21, 24 e 25 d.lgs. 
231/2007; Provv. B.I. del 26.03.2019 ""Disposizioni in materia di organizzazione, 
procedure e controlli interni volti a prevenire l’utilizzo degli intermediari a fini di  
riciclaggio e di finanziamento del terrorismo""; Provv. B.I. del 30.07.2019 “Disposizioni  in 
materia di adeguata verifica della clientela per il contrasto del riciclaggio e del  
finanziamento del terrorismo”; art. 62, co. 1, d. lgs. 231/2007). 
CONSIDERATO che l e suddett e irregolarità sono state contestat e a Prelios Credit 
Servicing Spa  nella persona del legale rappresentante pro-tempore , secondo le formalità 
previste dall’art. 145 TUB, richiamato dall’art. 65 del d.lgs. n. 231/2007;  
CONSIDERATI le deduzioni presentate nel corso dell’ist ruttoria e ogni altro elemento 
istruttorio;  
VISTA la nota (omissis)  con la quale il Servizio Rapporti Istituzionali di Vigilanza, in 
osservanza del principio della distinzione tra funzioni i struttorie e funzioni decisorie rispetto 
all’irrogazione della sanzione, fissato dall ’art. 24 della  l. n. 262/2005, ha proposto al Direttorio 
della Banca d’Italia l’applicazione,  nei confronti di Prelios Credit Servicing Spa , di sanzioni 
amministrative pecuniarie ex art. 62, d.lgs. n. 231/2007, trasmettendo i relativi  atti;                                                                        
 
Provvedimenti sanzionatori  
 
 
2 
 VISTA la nota (omissis)  con la quale il Servizio Rapporti Istituzionali di Vigilanza ha 
trasmesso a Prelios Credit Servicing  Spa la proposta di sanzione e i relativi allegati;  
VISTE  le ulteriori osservazioni trasmesse (omissis)  da Prelios Credit Servicing  Spa in 
merito a lla proposta del Servizio Rapporti Istituzionali di Vigilanza;  
VISTO il parere dell’Avvocato Generale (omissis) ; 
VISTA la delibera del Direttorio (omissis);   
LA BANCA D’ITALIA  
ESAMINATI gli atti del procedimento , considerate le ulteriori osservazioni presentate  
dalla società non idonee a superare la proposta del Servizio Rapporti Istituzionali di Vigilanza 
e ritenuto, quindi, che sussistono gli estremi per l’irrogazione della sanzione amministrativa  
pecuniaria , tenuto conto delle  irregolarità rilevate  e dell’azione correttiva attuata,  per le ragioni 
illustrate nella delibera (omissis) ; 
DISPONE  CHE  
a Prelios Credit Servicing Spa sia inflitta, ai sensi dell’art. 62  del d.lgs. n. 231/2007,  per 
le irregolarità sopra indicate, la sanzione amministrativa pecuniar ia di € 3 0.000.",2019-03-26
SCANIA FINANCE ITALY  SPA,5.0,"- carenze in materia di adeguata verifica rafforzata e collaborazione attiva (art. 7, 15, 16, 17, 
18, 19, 20, 24, 25, 35, 36, d.lgs. 231/2007; Provv. B.I. del 26/03/2019 ""Disposizioni  in 
materia di organizzazione, procedure e controlli interni volti a prevenire l’utilizzo degli  
intermediari a fini di riciclaggio e di f inanziamento del terrorismo""; Provv. B.I. del  
30/07/2019 “Disposizioni in materia di adeguata verifica della clientela per il contrasto  del 
riciclaggio e del finanziamento del terrorismo”; art. 62, co. 1, d. lgs. 231/2007). 
CONSIDERATO che l e suddett e irregolarità sono state contesta te a Scania Finance Italy 
Spa nella persona del legale rappresentante pro- tempore , secondo le formalità previste dall’art. 
145 TUB, richiamato dall’art. 65 del d.lgs. n. 231/2007;  
CONSIDERATI le deduzioni presentate nel corso de ll’istruttoria e ogni altro elemento 
istruttorio;  
VISTA la nota (omissis)  con la quale il Servizio Rapporti Istituzionali di Vigilanza, in 
osservanza del principio della distinzione tra funzioni i struttorie e funzioni decisorie rispetto 
all’irrogazione del la sanzione, fissato dall’art. 24 della  l. n. 262/2005, ha proposto al Direttorio 
della Banca d’Italia l’applicazione,  nei confronti di Scania Finance Italy Spa,  di sanzioni 
amministrative pecuniarie ex art. 62, d.lgs. n. 231/2007, trasmettendo i relativi  atti;                                                                        
 
Provvedimenti sanzionatori  
 
 
2 
 VISTA la nota (omissis)  con la quale il Servizio Rapporti Istituzionali di Vigilanza ha 
trasmesso a Scania Finance Italy Spa la proposta di sanzione e i relativi allegati;  
VISTE  le ulteriori osservazioni trasmesse (omissis)  da Scania Finance Italy Sp a in merito 
alla proposta del Servizio Rapporti Istituzionali di Vigilanza;  
VISTO il parere dell’Avvocato Generale (omissis) ; 
VISTA la delibera del Direttorio (omissis);   
LA BANCA D’ITALIA  
ESAMINATI gli atti del procedimento, considerate le ulteriori osse rvazioni presentate  
dalla società non idonee a superare la proposta del Servizio Rapporti Istituzionali di Vigilanza  
e ritenuto, quindi, che sussistono gli estremi per l’irrogazione della sanzione amministrativa  
pecuniaria, tenuto conto delle irregolarità rilevate e dell’azione correttiva avviata,  per le ragioni 
illustrate nella delibera (omissis) ; 
DISPONE  CHE  
a Scania Finance Italy Spa sia inflitta, ai sensi dell’art. 62  del d.lgs. n. 231/2007, per le  
irregolarità sopra indicate, la sanzione amministrativa pecuniaria di € 5 0.000.",2019-03-26
IFIR ISTITUTI FINANZIARI RIUNITI SPA,,,2023-11-07
