Date,Title,Content,URL,Publisher,LLMResponse,Sentiment
"Mon, 25 Mar 2024 07:00:00 GMT",Soft Landing Still The Narrative & Stock Of The Week: Apple (AAPL) - Forbes,Soft Landing Still The Narrative & Stock Of The Week: Apple (AAPL)  Forbes,https://news.google.com/rss/articles/CBMidmh0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvam9obmJ1Y2tpbmdoYW0vMjAyNC8wMy8yNS9zb2Z0LWxhbmRpbmctc3RpbGwtdGhlLW5hcnJhdGl2ZS0tc3RvY2stb2YtdGhlLXdlZWstYXBwbGUtYWFwbC_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.forbes.com', 'title': 'Forbes'}",**POSITIVE**,POSITIVE
"Thu, 02 May 2024 16:00:01 GMT",Apple announces largest-ever $110 billion share buyback as iPhone sales drop 10% - CNBC,Apple announces largest-ever $110 billion share buyback as iPhone sales drop 10%  CNBC,https://news.google.com/rss/articles/CBMiR2h0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjQvMDUvMDIvYXBwbGUtYWFwbC1lYXJuaW5ncy1yZXBvcnQtcTItMjAyNC5odG1s0gFLaHR0cHM6Ly93d3cuY25iYy5jb20vYW1wLzIwMjQvMDUvMDIvYXBwbGUtYWFwbC1lYXJuaW5ncy1yZXBvcnQtcTItMjAyNC5odG1s?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.cnbc.com', 'title': 'CNBC'}",**POSITIVE**,POSITIVE
"Wed, 03 Apr 2024 07:00:00 GMT",Apple Stock Flashes Death Cross; What's Next? - Investor's Business Daily,Apple Stock Flashes Death Cross; What's Next?  Investor's Business Daily,https://news.google.com/rss/articles/CBMiQGh0dHBzOi8vd3d3LmludmVzdG9ycy5jb20vcmVzZWFyY2gvYXBwbGUtc3RvY2stYWFwbC1kZWF0aC1jcm9zcy_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.investors.com', 'title': ""Investor's Business Daily""}",**NEGATIVE**,NEGATIVE
"Tue, 12 Mar 2024 07:00:00 GMT",Apple Stock: Great News From An AAPL Bear - TheStreet,Apple Stock: Great News From An AAPL Bear  TheStreet,https://news.google.com/rss/articles/CBMiTmh0dHBzOi8vd3d3LnRoZXN0cmVldC5jb20vYXBwbGUvc3RvY2svYXBwbGUtc3RvY2stZ3JlYXQtbmV3cy1mcm9tLWFuLWFhcGwtYmVhctIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.thestreet.com', 'title': 'TheStreet'}",**NEUTRAL**,NEUTRAL
"Wed, 03 Apr 2024 07:00:00 GMT",Apple Inc (AAPL) CEO Timothy Cook Sells 196410 Shares Apple Inc (AAPL) CEO Timothy Cook Sells 196410 Shares ... - Yahoo Finance,Apple Inc (AAPL) CEO Timothy Cook Sells 196410 Shares Apple Inc (AAPL) CEO Timothy Cook Sells 196410 Shares ...  Yahoo Finance,https://news.google.com/rss/articles/CBMiSGh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9hcHBsZS1pbmMtYWFwbC1jZW8tdGltb3RoeS0wNTUzNTQ4ODQuaHRtbNIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://finance.yahoo.com', 'title': 'Yahoo Finance'}",**NEUTRAL**,NEUTRAL
"Wed, 06 Mar 2024 08:00:00 GMT",How Apple (AAPL) Could Dial Into an 'AiPhone' - Nasdaq,How Apple (AAPL) Could Dial Into an 'AiPhone'  Nasdaq,https://news.google.com/rss/articles/CBMiSWh0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvaG93LWFwcGxlLWFhcGwtY291bGQtZGlhbC1pbnRvLWFuLWFpcGhvbmXSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.nasdaq.com', 'title': 'Nasdaq'}",**POSITIVE**,POSITIVE
"Thu, 02 May 2024 21:20:37 GMT","AAPL Earnings: Apple Surges on Strong Results, $110B Buyback - TipRanks.com - TipRanks","AAPL Earnings: Apple Surges on Strong Results, $110B Buyback - TipRanks.com  TipRanks",https://news.google.com/rss/articles/CBMiV2h0dHBzOi8vd3d3LnRpcHJhbmtzLmNvbS9uZXdzL2FhcGwtZWFybmluZ3MtYXBwbGUtc3VyZ2VzLW9uLXN0cm9uZy1yZXN1bHRzLTExMGItYnV5YmFja9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.tipranks.com', 'title': 'TipRanks'}",**POSITIVE**,POSITIVE
"Tue, 30 Jan 2024 08:00:00 GMT",AAPL Stock Alert: Why Now May Be the Perfect Time to Take a Bite of Apple - InvestorPlace,AAPL Stock Alert: Why Now May Be the Perfect Time to Take a Bite of Apple  InvestorPlace,https://news.google.com/rss/articles/CBMia2h0dHBzOi8vaW52ZXN0b3JwbGFjZS5jb20vMjAyNC8wMS9hYXBsLXN0b2NrLWFsZXJ0LXdoeS1ub3ctbWF5LWJlLXRoZS1wZXJmZWN0LXRpbWUtdG8tdGFrZS1hLWJpdGUtb2YtYXBwbGUv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://investorplace.com', 'title': 'InvestorPlace'}",**POSITIVE**,POSITIVE
"Thu, 02 May 2024 20:31:30 GMT",Apple (AAPL) Tops Q2 EPS by 3c - StreetInsider.com,Apple (AAPL) Tops Q2 EPS by 3c  StreetInsider.com,https://news.google.com/rss/articles/CBMiV2h0dHBzOi8vd3d3LnN0cmVldGluc2lkZXIuY29tL0Vhcm5pbmdzL0FwcGxlKyUyOEFBUEwlMjkrVG9wcytRMitFUFMrYnkrM2MvMjMxNjU2MDYuaHRtbNIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.streetinsider.com', 'title': 'StreetInsider.com'}",**POSITIVE**,POSITIVE
"Mon, 01 Apr 2024 07:00:00 GMT",Apple (AAPL) Falls More Steeply Than Broader Market: What Investors Need to Know - Yahoo Finance,Apple (AAPL) Falls More Steeply Than Broader Market: What Investors Need to Know  Yahoo Finance,https://news.google.com/rss/articles/CBMiS2h0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9hcHBsZS1hYXBsLWZhbGxzLW1vcmUtc3RlZXBseS0yMTQ1MTg5MjkuaHRtbNIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://finance.yahoo.com', 'title': 'Yahoo Finance'}",**NEGATIVE**,NEGATIVE
