Date,Transaction Type,Amount,Balance After
2024-09-15,Deposit,29662,5032623
2024-09-15,Loan Disbursed,155568,2217387
2024-09-15,Client Payment,25282,5007341
2024-09-15,Treasury Transaction,55122,337904
2024-09-15,Interest Income,12522,967861
2024-09-16,Deposit,86535,5093876
2024-09-16,Loan Disbursed,102598,2319985
2024-09-16,Client Payment,14372,5079504
2024-09-16,Treasury Transaction,62370,275534
2024-09-16,Interest Income,14103,941736
2024-09-17,Deposit,22097,5101601
2024-09-17,Loan Disbursed,91903,2411888
2024-09-17,Client Payment,17059,5084542
2024-09-17,Treasury Transaction,101951,173583
2024-09-17,Interest Income,13923,965707
2024-09-18,Deposit,34009,5118551
2024-09-18,Loan Disbursed,148950,2560838
2024-09-18,Client Payment,7051,5111500
2024-09-18,Treasury Transaction,107523,66060
2024-09-18,Interest Income,6116,930396
2024-09-19,Deposit,13058,5124558
2024-09-19,Loan Disbursed,148519,2709357
2024-09-19,Client Payment,10320,5114238
2024-09-19,Treasury Transaction,50790,15270
2024-09-19,Interest Income,9639,842306
2024-09-20,Deposit,80985,5195223
2024-09-20,Loan Disbursed,191880,2901237
2024-09-20,Client Payment,24915,5170308
2024-09-20,Interest Income,14284,664710
2024-09-21,Deposit,44849,5215157
2024-09-21,Loan Disbursed,234668,3135905
2024-09-21,Client Payment,23559,5191598
2024-09-21,Interest Income,5949,435991
2024-09-22,Deposit,10190,5201788
2024-09-22,Loan Disbursed,213181,3349086
2024-09-22,Client Payment,19594,5182194
2024-09-22,Interest Income,6131,228941
2024-09-23,Deposit,25811,5208005
2024-09-23,Loan Disbursed,121228,3470314
2024-09-23,Client Payment,19471,5188534
2024-09-23,Interest Income,7636,115349
2024-09-24,Deposit,79726,5268260
2024-09-24,Client Payment,18552,5249708
2024-09-24,Interest Income,13804,129153
2024-09-25,Deposit,85895,5335603
2024-09-25,Client Payment,23108,5312495
2024-09-25,Interest Income,5434,134587
2024-09-26,Deposit,94479,5406974
2024-09-26,Loan Disbursed,100584,3570898
2024-09-26,Client Payment,19577,5387397
2024-09-26,Interest Income,5065,39068
2024-09-27,Deposit,68175,5455572
2024-09-27,Client Payment,22823,5432749
2024-09-27,Interest Income,8494,47562
2024-09-28,Deposit,62956,5495705
2024-09-28,Client Payment,13798,5481907
2024-09-28,Interest Income,13801,61363
2024-09-29,Deposit,74349,5556256
2024-09-29,Client Payment,27200,5529056
2024-09-29,Interest Income,8093,69456
2024-09-30,Deposit,96085,5625141
2024-09-30,Client Payment,15305,5609836
2024-09-30,Interest Income,9716,79172
2024-10-01,Deposit,24987,5634823
2024-10-01,Client Payment,27377,5607446
2024-10-01,Interest Income,13983,93155
2024-10-02,Deposit,90149,5697595
2024-10-02,Client Payment,28036,5669559
2024-10-02,Interest Income,5984,99139
2024-10-03,Deposit,79992,5749551
2024-10-03,Client Payment,29655,5719896
2024-10-03,Interest Income,6611,105750
2024-10-04,Deposit,72182,5792078
2024-10-04,Client Payment,27049,5765029
2024-10-04,Interest Income,11995,117745
2024-10-05,Deposit,42541,5807570
2024-10-05,Client Payment,17644,5789926
2024-10-05,Interest Income,11890,129635
2024-10-06,Deposit,31469,5821395
2024-10-06,Client Payment,13907,5807488
2024-10-06,Interest Income,7686,137321
2024-10-07,Deposit,15763,5823251
2024-10-07,Client Payment,17835,5805416
2024-10-07,Interest Income,6089,143410
2024-10-08,Deposit,88752,5894168
2024-10-08,Loan Disbursed,129197,3700095
2024-10-08,Client Payment,17970,5876198
2024-10-08,Interest Income,10225,24438
2024-10-09,Deposit,81015,5957213
2024-10-09,Client Payment,21462,5935751
2024-10-09,Interest Income,13932,38370
2024-10-10,Deposit,29500,5965251
2024-10-10,Client Payment,16383,5948868
2024-10-10,Interest Income,7653,46023
2024-10-11,Deposit,88593,6037461
2024-10-11,Client Payment,8138,6029323
2024-10-11,Interest Income,11182,57205
2024-10-12,Deposit,15996,6045319
2024-10-12,Client Payment,14282,6031037
2024-10-12,Interest Income,6763,63968
2024-10-13,Deposit,30987,6062024
2024-10-13,Client Payment,23281,6038743
2024-10-13,Interest Income,5833,69801
2024-10-14,Deposit,17275,6056018
2024-10-14,Client Payment,22048,6033970
2024-10-14,Interest Income,5475,75276
